node,x,y
6146,664.832092,1333.082031
6038,-374.831085,340.525146
5229,1547.858154,-446.625885
4922,868.469482,-276.160950
1600,-1416.430298,432.868866
4962,107.232665,-353.566930
661,-1638.908813,29.379753
356,-24.032669,-1702.860718
1869,1050.212402,1072.729858
1710,790.507507,1291.991211
2698,-480.849574,-594.773412
3200,-684.135864,-124.680725
1893,325.210905,-147.197838
1131,-1145.984863,-984.454224
1999,-964.417542,-756.216980
714,-1071.872314,-859.768127
3303,-1042.746826,-832.635315
2272,-1086.948242,-875.401978
1223,-1026.975586,-854.431763
1098,-1066.909790,-902.402405
3933,-1034.878296,-869.497070
1430,-1196.011230,-948.464539
88,-69.689301,-101.369537
3362,781.276428,1257.407471
3782,-1721.345215,-446.012543
941,453.132141,-588.916626
3120,-228.198486,-1716.792236
4836,545.165161,118.889969
1041,318.686890,1479.092896
4774,-1042.557739,-977.403381
978,1394.076294,-614.079895
3390,1566.385376,-120.802963
542,-51.953499,-1335.010498
3637,-469.918770,748.781917
3813,-650.466852,738.120090
4923,468.872985,422.298440
1280,516.470459,-1330.345215
2240,-1311.079956,593.014587
1749,581.447652,-109.841479
6043,520.099121,-79.873604
1025,596.984009,-299.565308
4045,653.628357,-550.717590
1395,647.833069,-77.618576
1723,558.586182,-148.765945
4939,389.924866,-38.436008
2773,1250.653442,544.620728
618,1459.045410,460.219574
3736,284.664429,-1231.456543
1995,-9.790161,-1170.150024
5040,-931.326660,-928.985962
1624,672.955504,-650.091498
5382,-1666.881958,235.983414
5085,1470.075562,-377.153687
1220,-411.844147,-1732.599731
83,-1728.075928,-30.673328
3900,-597.533447,-488.044556
3664,-1294.995972,-803.122803
5608,-1625.870483,-545.298889
3727,958.388030,-919.304628
4680,-1357.835571,-866.196777
5563,1307.587646,-1004.230591
3397,-724.313110,1089.217773
243,-1275.235229,576.690918
5578,-237.456299,52.551430
3079,-1689.182129,-311.974335
659,-1253.130981,-754.847534
973,248.290165,-964.579398
4288,1238.454468,-1096.813232
5352,215.857025,238.889221
195,844.616943,-1095.043213
1567,-344.937714,-1733.341675
1147,-617.663147,-819.667664
4929,-583.011538,-844.860124
4686,-721.465881,-922.302246
5570,-1180.254395,222.963501
1634,-664.145996,-828.726868
4858,-707.443115,-879.616882
3601,-543.417053,-969.482300
1990,909.451477,1157.300171
3772,737.210815,-1005.559998
3107,1542.652588,-377.675323
1636,-1398.857178,-189.118759
2230,1178.920288,-379.009583
599,-661.270508,-240.443604
