node,x,y
637,-712.265000,-1526.933000
2676,-589.790000,541.628000
518,-1210.199000,704.079000
5422,1202.379000,836.413000
3196,1067.711000,803.679000
2884,177.602000,-1147.639000
5369,-819.964000,1228.230000
874,518.331000,-590.602000
2885,903.798000,415.667000
92,-344.920000,-1509.464000
2318,293.588000,-1561.630000
522,624.111000,122.906000
658,-1397.358000,895.408000
485,-990.506000,-1544.101000
634,175.805000,1512.340000
1607,164.571000,1255.011000
4513,147.707000,1123.515000
2673,1480.467000,-689.026000
3698,-168.593000,-1172.698000
888,126.991000,-1633.382000
5523,1196.672000,-580.128000
5061,-391.244000,-1642.019000
2239,-203.687000,-1749.036000
249,146.478000,810.320000
1512,-931.591000,584.137000
5015,1060.540000,-232.470000
5394,-123.842000,-49.514000
2147,-11.450000,-1301.012000
4220,-923.256000,-1152.996000
1190,218.752000,-988.606000
934,520.099000,-79.874000
852,291.193000,-444.150000
3843,1167.089000,620.787000
5391,-1016.302000,-1044.607000
1989,-754.509000,874.969000
5186,-1114.646000,-661.013000
2964,1102.725000,982.519000
2738,-554.982000,525.383000
2416,-620.577000,515.824000
3688,126.129000,-1224.333000
5448,-227.785000,-258.460000
2613,-847.720000,1352.545000
1482,-691.511000,1238.889000
2530,-320.920000,-1785.269000
5095,19.983000,-1448.213000
2609,521.827000,195.346000
1130,1.609000,-178.013000
4498,8.406000,230.104000
1151,780.960000,-1378.381000
4455,889.964000,-1388.280000
2772,-406.761000,-1092.102000
3609,209.151000,-1250.033000
4180,627.213000,112.278000
827,443.421000,491.629000
2814,-816.768000,-372.088000
2118,497.284000,-916.234000
4790,-1711.224000,-293.586000
379,442.910000,644.177000
5405,689.612000,-374.720000
4508,-1515.393000,65.805000
2439,-1072.096000,-807.689000
2674,909.451000,1157.300000
1988,723.776000,439.746000
903,385.484000,476.643000
1848,-1201.003000,82.008000
3870,-1234.980000,210.888000
1088,946.229000,1004.484000
2671,1152.154000,-542.252000
891,540.038000,234.858000
165,358.111000,-1731.317000
2806,1084.092000,-514.224000
4566,461.340000,-803.041000
4340,1018.628000,-1330.662000
397,1535.837000,-344.410000
2097,-982.608000,1050.289000
481,-800.372000,705.117000
33,-938.923000,948.298000
2375,1507.238000,382.294000
5302,369.765000,1038.013000
28,-945.894000,-978.529000
1464,742.184000,1292.370000
5437,0.456000,1327.052000
2979,-667.174000,-1099.912000
403,-1647.702000,13.054000
2426,-1047.698000,799.239000
3153,853.509000,1048.397000
1535,-204.004000,-1552.675000
2096,242.584000,772.746000
5575,-1018.769000,-669.699000
