source,target,weight
38,5345,0.22474
38,5603,0.27463
38,5703,0.20634
38,5711,0.39586
38,5763,0.21406
38,5796,0.20416
38,5874,0.21999
38,6078,0.27329
38,6143,0.26363
39,67,0.33057
39,148,0.32765
39,156,0.4275
39,170,0.26978
39,411,0.23031
39,459,0.45824
39,549,0.22662
39,837,0.53606
39,848,0.34316
39,1028,0.46086
39,1059,0.28323
39,1150,0.55047
39,1204,0.20047
39,1241,0.37756
39,1350,0.46647
39,1378,0.31649
39,1522,0.27261
39,1532,0.27352
39,1682,0.27556
39,1692,0.20328
39,1716,0.49591
39,1719,0.44384
39,1813,0.31487
39,1905,0.22552
39,2214,0.40482
39,2258,0.32457
39,2319,0.54459
39,2444,0.22574
39,2453,0.32015
39,2488,0.28273
39,2629,0.49152
39,2641,0.22419
39,2759,0.29815
39,2790,0.39769
39,2903,0.21695
39,2906,0.438
39,2993,0.21915
39,3252,0.36232
39,3472,0.47979
39,3643,0.27879
39,3791,0.212
39,3821,0.41663
39,3854,0.32115
39,3926,0.20037
39,4022,0.37954
39,4083,0.3477
39,4226,0.27109
39,4352,0.30513
39,4561,0.34567
39,4607,0.2058
39,4609,0.2727
39,4722,0.33799
39,4842,0.45012
39,4907,0.46948
39,4971,0.20717
39,5206,0.25356
39,5367,0.21394
39,5557,0.28624
39,5930,0.28058
39,5995,0.35118
39,5998,0.21535
39,6031,0.20179
40,3091,0.21969
40,5670,0.20755
41,4882,0.20499
41,5228,0.21294
42,92,0.21939
42,492,0.23691
42,813,0.31
42,867,0.25186
42,1201,0.34251
42,1904,0.28315
42,1956,0.20795
42,4365,0.34401
42,5022,0.20725
42,5766,0.20983
43,411,0.2028
43,2404,0.40375
43,4475,0.56777
43,5155,0.28219
43,6132,0.36311
44,875,0.21749
44,3600,0.23774
45,839,0.20009
45,2374,0.20529
45,3348,0.25799
45,3449,0.22376
45,3685,0.20421
46,252,0.2431
46,375,0.62753
46,490,0.25882
46,623,0.25868
46,1310,0.30094
46,2010,0.22509
46,2448,0.24302
46,3146,0.20095
46,3540,0.21213
46,4187,0.22948
46,4282,0.20998
46,4597,0.50941
46,4676,0.22575
46,4722,0.25679
46,4750,0.21475
46,5039,0.36777
46,5167,0.33939
46,5299,0.25846
46,5402,0.24832
46,5642,0.24601
46,5967,0.26701
47,135,0.32449
47,238,0.20535
47,351,0.3471
47,471,0.25129
47,756,0.34378
47,910,0.59084
47,1408,0.26921
47,1678,0.20346
47,1735,0.3115
47,1937,0.33765
47,1946,0.44446
47,2115,0.21368
47,2391,0.36083
47,2532,0.34004
47,2612,0.35924
47,2781,0.20538
47,3066,0.42484
47,3381,0.38823
47,3738,0.33832
47,4306,0.24567
47,4317,0.222
47,4687,0.57439
47,4936,0.2499
47,5022,0.36431
47,5235,0.41665
47,5783,0.23123
48,326,0.25176
49,1848,0.25982
49,2038,0.29023
49,2967,0.39644
49,3481,0.33728
49,3841,0.28162
49,4325,0.36776
49,4537,0.3052
49,4783,0.37289
49,4799,0.24664
49,5111,0.20281
49,5528,0.24682
49,5544,0.23713
49,5975,0.39236
49,6013,0.29404
50,2124,0.26671
50,5210,0.28463
50,5230,0.28526
51,71,0.21803
51,103,0.21908
51,127,0.24844
51,273,0.25905
51,385,0.27637
51,415,0.24243
51,459,0.20579
51,548,0.24141
51,800,0.31641
51,863,0.62809
51,876,0.26037
51,922,0.37663
51,997,0.3225
51,1013,0.23165
51,1270,0.22986
51,1298,0.20638
51,1400,0.41356
51,1673,0.22759
51,1684,0.32089
51,2097,0.31428
51,2265,0.45517
51,2300,0.23568
51,2325,0.34834
51,2368,0.40876
51,2387,0.34199
51,2461,0.31608
51,2543,0.40023
51,2575,0.33805
51,2713,0.51902
51,2759,0.25084
51,3146,0.55237
51,3172,0.21906
51,3249,0.29479
51,3350,0.2267
51,3610,0.22036
51,3639,0.25644
51,3731,0.50802
51,3818,0.20326
51,3846,0.30564
51,3926,0.31902
51,4022,0.22882
51,4155,0.26553
51,4215,0.34351
51,4227,0.23255
51,4294,0.63873
51,4361,0.21655
51,4373,0.37612
51,4395,0.23595
51,4528,0.39092
51,4562,0.23403
51,4676,0.29343
51,4743,0.23641
51,4752,0.25711
51,4848,0.26054
51,4912,0.213
51,4955,0.20541
51,4957,0.22998
51,4971,0.23634
51,5061,0.23762
51,5206,0.33859
51,5329,0.26196
51,5378,0.36122
51,5408,0.2074
51,5527,0.21213
51,5605,0.30995
51,5649,0.26202
51,5862,0.24748
51,5893,0.26308
51,5930,0.29779
51,6092,0.2106
51,6191,0.44779
52,573,0.30239
52,1536,0.25193
52,1961,0.22728
52,2487,0.26467
52,2958,0.20589
52,3297,0.26246
52,3311,0.22548
52,3451,0.22386
52,3480,0.23074
52,3768,0.2594
52,4003,0.27607
52,4144,0.36305
52,4242,0.34421
52,4497,0.20055
52,4498,0.29917
52,4623,0.31933
52,4851,0.2272
52,4893,0.29959
52,4901,0.34442
52,5046,0.22423
52,5187,0.22199
52,5237,0.35104
52,5317,0.23927
52,5335,0.2693
52,5820,0.42824
52,6023,0.22749
52,6181,0.32565
53,759,0.34977
53,1721,0.32723
53,1925,0.29826
53,5060,0.27485
53,5305,0.2591
54,287,0.21028
54,505,0.2254
54,1778,0.2163
54,1908,0.23466
54,2015,0.20584
54,2101,0.41545
54,2242,0.30239
54,2540,0.42151
54,3359,0.21213
54,4092,0.52721
54,4833,0.27464
54,4854,0.28118
54,5534,0.26022
54,5581,0.23153
54,5834,0.2212
54,5863,0.22813
54,6058,0.26213
55,2892,0.21936
56,367,0.21737
56,1155,0.25983
56,1278,0.28715
56,1421,0.48613
56,1433,0.20444
56,1526,0.31619
56,1799,0.41382
56,1829,0.29097
56,2396,0.37471
56,2447,0.37515
56,2917,0.50553
56,3027,0.38928
56,3164,0.24841
56,3212,0.43482
56,3913,0.52721
56,4095,0.59432
56,4243,0.26148
56,4503,0.4385
56,4763,0.20086
56,4767,0.41389
56,4883,0.26636
56,5616,0.27823
56,5793,0.37938
56,5883,0.24936
57,165,0.20678
57,564,0.25026
57,627,0.21849
57,834,0.25871
57,844,0.23039
57,883,0.24842
57,1188,0.32105
57,2035,0.28367
57,2359,0.22487
57,2516,0.2494
57,2656,0.27257
57,2880,0.23033
57,3370,0.25304
57,3393,0.2188
57,3408,0.26701
57,3812,0.2101
57,4125,0.22972
57,4326,0.29536
57,5104,0.25423
57,5187,0.22874
57,5489,0.24251
57,5577,0.21858
57,5629,0.21975
57,5688,0.23794
57,5823,0.20841
58,122,0.20938
58,408,0.21801
58,1625,0.22332
58,1630,0.21769
58,2342,0.30415
58,3052,0.24482
58,3278,0.20562
58,3748,0.20952
58,4964,0.25781
58,5683,0.21051
58,5752,0.2948
58,5882,0.20198
58,6109,0.20252
59,1609,0.31594
59,3605,0.22698
59,3981,0.22772
59,4577,0.21453
59,4591,0.20881
59,4942,0.20795
60,152,0.35684
60,497,0.24432
60,672,0.20287
60,1120,0.37567
60,1409,0.22399
60,1569,0.23187
60,1578,0.28319
60,1639,0.32751
60,1641,0.24335
60,1728,0.26722
60,2138,0.20162
60,2352,0.2947
60,2639,0.22338
60,3147,0.3276
60,3795,0.29118
60,3931,0.23633
60,3946,0.27064
60,4282,0.28607
60,4442,0.26093
60,4870,0.28296
60,4943,0.20065
60,5508,0.26842
61,566,0.30773
61,620,0.27242
61,1207,0.43973
61,2201,0.24976
61,2390,0.21083
61,2816,0.37072
61,3134,0.4701
61,3337,0.39867
61,4133,0.63849
61,4646,0.2165
61,4894,0.2189
61,5275,0.5105
61,5641,0.29891
61,6003,0.42366
61,6077,0.34517
61,6091,0.23573
61,6102,0.22074
62,164,0.20171
62,959,0.25068
62,1031,0.25835
62,1050,0.21944
62,1064,0.3478
62,1182,0.20755
62,1460,0.20167
62,1847,0.21998
62,1948,0.31937
62,2904,0.25386
62,3032,0.26865
62,3119,0.42427
62,3633,0.28827
62,3709,0.40775
62,4221,0.26378
62,4284,0.21885
62,4593,0.22261
62,4866,0.2911
62,4903,0.20158
62,5245,0.23156
62,5490,0.25087
62,5597,0.33806
62,5859,0.21688
62,5869,0.21533
62,6185,0.46305
62,6216,0.33446
63,1826,0.24957
63,5620,0.21062
64,273,0.24929
64,385,0.24106
64,737,0.22956
64,800,0.21568
64,922,0.21173
64,1684,0.20553
64,1690,0.21019
64,2300,0.21997
64,2506,0.21526
64,2575,0.27242
64,2833,0.20511
64,3146,0.20124
64,3496,0.21423
64,3639,0.26218
64,4155,0.26178
64,4395,0.25677
64,4528,0.21367
64,4676,0.20898
64,4912,0.24347
64,4971,0.23144
64,5908,0.22844
64,6212,0.24064
65,1125,0.2726
65,2672,0.38728
65,3257,0.22044
65,3504,0.24225
65,5419,0.22955
65,5873,0.20712
67,549,0.27783
67,837,0.5738
67,1028,0.26429
67,1150,0.2968
67,1241,0.2303
67,1560,0.20547
67,1682,0.20639
67,1716,0.31666
67,1719,0.22272
67,2319,0.2736
67,2453,0.28392
67,2488,0.20595
67,2629,0.2531
67,2759,0.23517
67,2790,0.25447
67,2906,0.25006
67,3472,0.20193
67,3513,0.21209
67,3821,0.24327
67,5930,0.20689
67,5995,0.20414
68,132,0.22053
68,329,0.23814
68,719,0.21224
68,962,0.34055
68,1241,0.2059
68,1443,0.62642
68,1573,0.32882
68,1897,0.22725
68,2255,0.31283
68,2412,0.25341
68,2425,0.29796
68,2687,0.20988
68,2749,0.27124
68,2951,0.23893
68,3619,0.34191
68,3950,0.23519
68,4189,0.27434
68,4223,0.27995
68,4300,0.20697
68,4507,0.23224
68,4946,0.27882
69,3268,0.21156
69,4662,0.22489
70,3598,0.21432
71,370,0.22795
71,385,0.25926
71,548,0.26162
71,582,0.31825
71,800,0.44034
71,860,0.36333
71,863,0.23572
71,922,0.2094
71,1215,0.28494
71,1310,0.22318
71,1400,0.22392
71,1684,0.40893
71,2265,0.24945
71,2387,0.21124
71,2506,0.20096
71,2575,0.34459
71,2797,0.26027
71,2833,0.30451
71,3170,0.26031
71,3497,0.2067
71,3610,0.60834
71,3639,0.36275
71,3926,0.23855
71,4215,0.22615
71,4294,0.23173
71,4395,0.28386
71,4562,0.5024
71,4848,0.40173
71,4888,0.29474
71,4912,0.20002
71,4955,0.20056
71,5018,0.21596
71,5025,0.28166
71,5061,0.2044
71,5206,0.27294
71,5378,0.29728
71,5908,0.23046
72,183,0.33971
72,535,0.21067
72,912,0.20884
72,3674,0.29197
72,4242,0.2114
72,4409,0.22724
72,4614,0.2225
72,4716,0.33342
72,4876,0.36939
72,5323,0.38118
72,5471,0.34699
72,5737,0.21028
73,1996,0.2306
73,2201,0.21299
73,6091,0.21394
74,218,0.30095
74,1169,0.21764
74,1454,0.2998
74,1476,0.46225
74,2781,0.21741
74,2875,0.20874
74,4306,0.21601
75,191,0.23504
75,654,0.20455
75,2383,0.21399
75,3463,0.20269
76,611,0.21614
76,3299,0.21245
76,3402,0.45113
76,4370,0.2208
76,5084,0.26213
76,5126,0.23466
76,5453,0.3276
76,5940,0.24275
76,6186,0.27665
77,124,0.24616
77,622,0.22704
77,765,0.24761
77,873,0.26613
77,901,0.24174
77,958,0.26053
77,1811,0.22963
77,1856,0.20091
77,3083,0.20098
77,3265,0.24785
77,3313,0.20326
77,3509,0.21337
77,4999,0.20537
77,5377,0.20651
77,5727,0.22551
77,5742,0.30757
77,5889,0.20976
77,5920,0.27576
77,6059,0.23059
77,6145,0.20249
79,181,0.20118
79,219,0.24365
79,802,0.46201
79,840,0.20187
79,1062,0.23459
79,2161,0.31933
79,2546,0.26345
79,2817,0.54287
79,3871,0.48309
79,3965,0.37533
79,4074,0.45329
79,4455,0.20201
79,4546,0.37937
79,5200,0.36842
79,5919,0.22725
80,695,0.23802
80,2802,0.23185
80,4452,0.30759
81,4000,0.20099
82,3777,0.22725
83,3079,0.32096
83,4100,0.26087
83,4481,0.24791
86,300,0.20867
86,312,0.22851
86,334,0.42271
86,635,0.2803
86,666,0.66266
86,687,0.25708
86,1117,0.46916
86,1380,0.20697
86,1456,0.28824
86,1496,0.21651
86,2225,0.35326
86,2647,0.21316
86,3084,0.20229
86,3312,0.2306
86,3439,0.29157
86,3711,0.35495
86,3826,0.26253
86,3847,0.21844
86,3851,0.23363
86,3956,0.32858
86,4011,0.48506
86,4342,0.20983
86,4598,0.3455
86,4683,0.47522
86,4984,0.51249
86,5086,0.22064
86,5119,0.23184
86,5202,0.2107
86,5333,0.22383
86,5448,0.25277
86,5796,0.21213
86,5909,0.21912
88,159,0.26652
88,449,0.31046
88,451,0.22261
88,670,0.40069
88,914,0.20881
88,927,0.26732
88,941,0.25637
88,1033,0.22161
88,1346,0.33522
88,1538,0.20742
88,1737,0.21401
88,2046,0.36138
88,2251,0.20709
88,2431,0.21116
88,2896,0.29335
88,3001,0.20065
88,3229,0.29829
88,3628,0.20483
88,3882,0.22628
88,4202,0.20129
88,4296,0.26213
88,4445,0.27271
88,4494,0.25557
88,4576,0.2646
88,4915,0.21261
88,5358,0.3079
88,5915,0.2661
90,389,0.20271
90,4107,0.21549
91,5328,0.2051
91,5662,0.21527
92,607,0.22062
92,1906,0.23429
92,3431,0.20156
93,866,0.39312
93,3535,0.22652
93,4454,0.26431
94,453,0.23397
94,856,0.21888
94,1226,0.27483
94,2219,0.25486
94,2965,0.20584
94,3536,0.21714
94,5070,0.37258
94,5916,0.36194
95,1920,0.22324
95,3213,0.20395
95,3455,0.26266
95,3990,0.20848
95,4545,0.24566
95,5292,0.218
96,163,0.49489
96,477,0.23663
96,882,0.76937
96,2478,0.22171
96,3071,0.38833
96,3682,0.2248
96,4214,0.34329
98,4127,0.43297
98,4417,0.20342
99,1489,0.22444
99,4630,0.2173
99,4966,0.44208
99,4979,0.35326
100,423,0.24155
100,525,0.2377
100,1516,0.34811
100,2582,0.20256
100,2618,0.2118
100,2659,0.21011
100,3091,0.28511
100,3166,0.2129
100,4582,0.20873
100,5250,0.33021
100,5472,0.20567
100,5647,0.26702
100,5873,0.25211
100,6220,0.36356
101,5759,0.29917
102,957,0.2206
102,3598,0.25689
103,459,0.20131
103,582,0.2106
103,800,0.34844
103,863,0.22206
103,922,0.23347
103,997,0.21832
103,2265,0.28385
103,2575,0.24979
103,2713,0.20943
103,3146,0.22261
103,3639,0.30264
103,4226,0.20902
103,4294,0.228
103,4528,0.22895
103,4955,0.20748
103,5025,0.20617
103,5206,0.30388
105,2428,0.24038
105,3077,0.29024
105,3541,0.22823
105,3736,0.21816
105,4240,0.24864
105,4731,0.23456
105,4894,0.23011
105,6120,0.22166
106,1250,0.27303
106,2019,0.23807
106,3097,0.31209
106,4210,0.24302
108,1996,0.30056
108,2729,0.20927
108,3008,0.22955
108,3533,0.20478
108,4466,0.20726
108,5357,0.22725
108,6008,0.23495
108,6186,0.22725
110,161,0.222
110,394,0.22611
110,599,0.23011
110,616,0.21592
110,1361,0.20278
110,1413,0.20519
110,1516,0.29324
110,2582,0.20314
110,2824,0.20701
110,3082,0.26971
110,3091,0.34801
110,4402,0.22678
110,4582,0.29279
110,4591,0.25312
110,4932,0.25262
110,5461,0.20825
110,5644,0.29149
110,5647,0.28117
110,5670,0.35503
110,6119,0.36296
110,6220,0.24242
111,4391,0.20236
111,5904,0.20347
112,604,0.20644
112,5903,0.27224
113,374,0.28783
113,605,0.26073
113,1565,0.29104
113,1893,0.22594
113,2695,0.26159
113,2724,0.35158
113,3661,0.26019
113,4012,0.35326
113,4966,0.22275
113,4979,0.32213
113,5331,0.23134
113,5666,0.29335
113,5827,0.2163
114,3095,0.26852
114,3633,0.20201
114,4758,0.2125
115,161,0.23311
115,1361,0.28893
115,1516,0.27964
115,1650,0.20421
115,2582,0.23028
115,2618,0.2411
115,2824,0.25169
115,3091,0.35133
115,4582,0.22034
115,4591,0.21268
115,5250,0.24976
115,5647,0.27146
115,5670,0.28086
115,6220,0.28378
117,4129,0.26607
117,4455,0.20288
117,5217,0.21166
117,5294,0.29302
117,6135,0.2831
118,1948,0.25709
118,3633,0.30282
119,216,0.20155
119,376,0.20364
119,2724,0.21119
119,4196,0.20024
120,3244,0.20909
120,4827,0.3716
120,5277,0.23723
123,5647,0.2002
124,1856,0.20341
124,2226,0.3252
124,3008,0.21213
124,5357,0.21213
124,5920,0.22453
124,6144,0.25632
125,5214,0.23466
126,1935,0.21352
126,2086,0.22723
126,2986,0.27564
126,4247,0.20523
126,4371,0.26667
126,5419,0.20927
127,402,0.24352
127,415,0.20377
127,863,0.26
127,1013,0.24225
127,1270,0.24928
127,1564,0.29512
127,2265,0.23127
127,2702,0.21162
127,3146,0.35122
127,3172,0.48071
127,3350,0.36829
127,3731,0.24559
127,4227,0.3903
127,4294,0.28645
127,4708,0.20545
127,4752,0.54567
127,4957,0.44621
127,4971,0.26705
127,5061,0.44947
127,5862,0.36584
127,5893,0.20743
128,1555,0.20378
128,2580,0.22955
128,3318,0.21641
128,3671,0.21432
129,350,0.29706
129,402,0.27049
129,415,0.35191
129,673,0.2595
129,1013,0.33905
129,1270,0.29206
129,1414,0.27407
129,1720,0.2467
129,2245,0.37592
129,2417,0.21606
129,2506,0.23383
129,2567,0.22947
129,2854,0.31594
129,2866,0.22062
129,2938,0.20055
129,2970,0.27218
129,3023,0.2089
129,3531,0.20891
129,4161,0.26099
129,4239,0.22177
129,4707,0.2595
129,4956,0.24957
129,5012,0.20752
129,6212,0.22209
132,1443,0.20414
132,5437,0.43829
132,5578,0.34374
133,271,0.43829
133,319,0.2833
133,347,0.21166
133,379,0.33828
133,409,0.2998
133,610,0.26997
133,628,0.20201
133,667,0.20352
133,1402,0.28783
133,1724,0.30617
133,2628,0.23415
133,2715,0.20201
133,2890,0.29706
133,2933,0.23927
133,3444,0.45012
133,3672,0.26823
133,4004,0.31594
133,4096,0.20927
133,4246,0.22261
133,6065,0.20201
134,3418,0.22646
134,4506,0.24534
134,4616,0.33905
134,6030,0.2799
135,351,0.31569
135,471,0.23671
135,756,0.34337
135,873,0.22771
135,910,0.48011
135,1408,0.21259
135,1735,0.32875
135,1937,0.2213
135,2391,0.26583
135,2532,0.34574
135,2612,0.30901
135,3066,0.33428
135,3381,0.29871
135,3509,0.22058
135,3738,0.27109
135,4317,0.26983
135,4396,0.28697
135,4581,0.20774
135,4936,0.29701
135,5022,0.55149
135,5235,0.27526
135,5605,0.21122
135,5783,0.31427
135,6088,0.31146
136,1269,0.26984
138,816,0.33764
138,1693,0.21838
138,1875,0.26153
138,3632,0.32372
138,3660,0.22072
138,4730,0.22114
138,4835,0.28869
138,4938,0.22563
138,5795,0.20322
139,716,0.21548
139,1111,0.23995
139,5181,0.21993
141,1966,0.26664
141,5242,0.31853
141,5347,0.21271
141,5368,0.21791
143,1903,0.21389
143,4134,0.22933
145,225,0.20038
145,1188,0.20793
145,2516,0.28296
145,3370,0.20769
145,4326,0.21432
145,4524,0.27356
145,5104,0.21771
146,1288,0.21124
146,1565,0.21594
146,2789,0.22514
146,3410,0.20119
146,4328,0.40751
146,4663,0.20092
147,289,0.23011
147,4240,0.2188
148,156,0.31657
148,170,0.25364
148,411,0.24946
